title,price,original_price,discount_percent,currency,availability,url,retailer,category,scraped_at
"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",21990.0,33090.0,33.5,INR,In Stock,https://www.flipkart.com/midea-torrino-wqp12-5201f-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmad0527c553818?pid=DSWFTGTEBADWYXKU&lid=LSTDSWFTGTEBADWYXKURQKBZY&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&spotlightTagId=default_FkPickId_j9e%2Fm38%2F58n&srno=s_1_1&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWFTGTEBADWYXKU.SEARCH&ppt=sp&ppn=sp&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:57.852131+00:00
Midea MDWTT0802D(B)IN Free Standing 8 Place Settings Dishwasher,16990.0,27090.0,37.3,INR,In Stock,https://www.flipkart.com/midea-mdwtt0802d-b-in-free-standing-8-place-settings-dishwasher/p/itm74feb54ca1884?pid=DSWH88FFTTRZ8HEG&lid=LSTDSWH88FFTTRZ8HEGHI8YVU&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_2&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWH88FFTTRZ8HEG.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:57.886185+00:00
BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,42900.0,52690.0,18.6,INR,In Stock,https://www.flipkart.com/bosch-sms66gw01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfdzsgahybprgb?pid=DSWFDZSG7MCTU3GY&lid=LSTDSWFDZSG7MCTU3GYU21UYW&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_3&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWFDZSG7MCTU3GY.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:57.930018+00:00
Voltas Beko by  A TATA Product DT8S Free Standing 8 Place Settings Dishwasher,15990.0,23390.0,31.6,INR,In Stock,https://www.flipkart.com/voltas-beko-tata-product-dt8s-free-standing-8-place-settings-dishwasher/p/itmceaa7028fab05?pid=DSWFSMDHWANNZDKG&lid=LSTDSWFSMDHWANNZDKGCTDU3N&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_4&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWFSMDHWANNZDKG.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:57.963752+00:00
Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,15990.0,25790.0,38.0,INR,In Stock,https://www.flipkart.com/midea-wqp8-3802d-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itm1bd5652ffb04b?pid=DSWG3CY9BN2VDDFQ&lid=LSTDSWG3CY9BN2VDDFQOYC6HY&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_5&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWG3CY9BN2VDDFQ.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:57.996081+00:00
Voltas Beko by  A TATA Product DT8B Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,17522.0,28990.0,39.6,INR,In Stock,https://www.flipkart.com/voltas-beko-tata-product-dt8b-free-standing-8-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itme6f0ac298c7f5?pid=DSWFV5G7ANRAJ2NZ&lid=LSTDSWFV5G7ANRAJ2NZM9WANQ&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_6&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWFV5G7ANRAJ2NZ.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:58.028150+00:00
Midea MDWPF1301F(B)IN Free Standing 13 Place Settings Dishwasher,23990.0,33090.0,27.5,INR,In Stock,https://www.flipkart.com/midea-mdwpf1301f-b-in-free-standing-13-place-settings-dishwasher/p/itma1f11bc75e392?pid=DSWH88FFFHW9NW5M&lid=LSTDSWH88FFFHW9NW5M4Y2OSY&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_7&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWH88FFFHW9NW5M.SEARCH&ppt=sp&ppn=sp&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:58.062159+00:00
BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,45700.0,56390.0,19.0,INR,In Stock,https://www.flipkart.com/bosch-sms66gi01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfckgbrraznm6r?pid=DSWFCKGBUZZGHJP9&lid=LSTDSWFCKGBUZZGHJP9GLSFKG&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_8&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWFCKGBUZZGHJP9.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:58.095932+00:00
Voltas Beko DF14S3 Free Standing 14 Place Settings Dishwasher,33990.0,66790.0,49.1,INR,In Stock,https://www.flipkart.com/voltas-beko-df14s3-free-standing-14-place-settings-dishwasher/p/itm30f024a40f027?pid=DSWHHU3C4G5FSGEA&lid=LSTDSWHHU3C4G5FSGEAJPX7MB&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_9&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWHHU3C4G5FSGEA.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:58.129727+00:00
BOSCH SMS46KI03I Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,54600.0,55990.0,2.5,INR,In Stock,https://www.flipkart.com/bosch-sms46ki03i-free-standing-14-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itme035a9f6af0d7?pid=DSWGFZFNJJRFRGAJ&lid=LSTDSWGFZFNJJRFRGAJTWUU54&marketplace=FLIPKART&q=dishwasher&store=j9e%2Fm38%2F58n&srno=s_1_10&otracker=search&fm=organic&iid=e1a49cb4-fa09-4029-ad53-8e6c629899a6.DSWGFZFNJJRFRGAJ.SEARCH&ppt=None&ppn=None&ssid=ubyo7trfuo0000001776879172220&qH=a1515828e3ab5803&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T17:32:58.162840+00:00
