title,brand,price,original_price,discount,currency,availability,rating,url,retailer,scraped_at
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(10% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39704699/buy,myntra.com,2026-04-22T17:01:45.292781+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(30% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39704678/buy,myntra.com,2026-04-22T17:01:45.350271+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(23% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-pouch-mobile-accessories/39704677/buy,myntra.com,2026-04-22T17:01:45.407036+00:00
Palay Back Case Mobile Accessories,Palay,0.0,0.0,(12% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-back-case-mobile-accessories/39704672/buy,myntra.com,2026-04-22T17:01:45.459385+00:00
Dancing Panda Knitted Crossbody Phone Pouch,Dancing Panda,0.0,0.0,(73% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/dancing+panda/dancing-panda-solid-printed-pouch-mobile-accessories/39686275/buy,myntra.com,2026-04-22T17:01:45.514754+00:00
Dancing Panda Knitted Crossbody Phone Pouch,Dancing Panda,0.0,0.0,(73% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/dancing+panda/dancing-panda-solid-printed-pouch-mobile-accessories/39686272/buy,myntra.com,2026-04-22T17:01:45.570793+00:00
Dancing Panda Knitted Crossbody Phone Pouch,Dancing Panda,0.0,0.0,(73% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/dancing+panda/dancing-panda-solid-printed-pouch-mobile-accessories/39686271/buy,myntra.com,2026-04-22T17:01:45.637694+00:00
Desigual Pouch Mobile Accessories,Desigual,0.0,0.0,(40% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/desigual/desigual-abstract-pouch-mobile-accessories/37642782/buy,myntra.com,2026-04-22T17:01:45.692436+00:00
Palay Pouch Mobile Accessories,Palay,0.0,0.0,(45% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/palay/palay-solid-printed-pouch-mobile-accessories/39680381/buy,myntra.com,2026-04-22T17:01:45.778976+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(65% OFF),INR,In Stock,"|
47",https://www.myntra.commobile-accessories/augen/augen-cartoon-characters-printed-fashion-mobile-accessories/39209626/buy,myntra.com,2026-04-22T17:01:45.834071+00:00
Luxury Kase Back Case Mobile Accessories,Luxury Kase,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/luxury+kase/luxury-kase-solid-printed-back-case-mobile-accessories/39047591/buy,myntra.com,2026-04-22T17:01:45.890491+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988350/buy,myntra.com,2026-04-22T17:01:45.961647+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988349/buy,myntra.com,2026-04-22T17:01:46.033587+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988347/buy,myntra.com,2026-04-22T17:01:46.132858+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988346/buy,myntra.com,2026-04-22T17:01:46.282285+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-fashion-mobile-accessories/38988345/buy,myntra.com,2026-04-22T17:01:46.400200+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988344/buy,myntra.com,2026-04-22T17:01:46.538486+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988342/buy,myntra.com,2026-04-22T17:01:46.679094+00:00
AUGEN Fashion Mobile Accessories,AUGEN,0.0,0.0,(50% OFF),INR,In Stock,,https://www.myntra.commobile-accessories/augen/augen-solid-printed-fashion-mobile-accessories/38988341/buy,myntra.com,2026-04-22T17:01:46.806057+00:00
