title,asin,price,original_price,discount_percent,currency,availability,rating,rating_count,badge,url,retailer,category,scraped_at
"Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS66GI01I, Inbuilt Heater, Removes 99.9% Germs, Silver Inox)",B07JW58P2C,45700.0,61990.0,26.3,INR,In Stock,4.3 out of 5 stars,,Amazon's,https://www.amazon.in/dp/B07JW58P2C,amazon.in,dishwasher,2026-04-22T18:23:24.329429+00:00
"Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS66GW01I, Inbuilt Heater, Removes 99.9% Germs, White)",B07JW77MVJ,42900.0,52990.0,19.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B07JW77MVJ,amazon.in,dishwasher,2026-04-22T18:23:24.407202+00:00
"Bosch 14 Place Setting (fits up to 80 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS46KI03I, Inbuilt Heater, Removes 99.9% Germs, Silver Inox)",B08BCQ5W9M,54600.0,66790.0,18.3,INR,In Stock,4.0 out of 5 stars,,,https://www.amazon.in/dp/B08BCQ5W9M,amazon.in,dishwasher,2026-04-22T18:23:24.497982+00:00
"MIDEA 8 Place Setting Countertop Dishwasher (MDWTT0802D(B) IN, Black, 6 wash programs, Portable, anti-bacterial filter & Intensive 70 degree wash for Ultra Hygiene, 24 Hour Delay Timer)",B0DSC7JW1V,15990.0,29490.0,45.8,INR,In Stock,4.0 out of 5 stars,,,https://www.amazon.in/dp/B0DSC7JW1V,amazon.in,dishwasher,2026-04-22T18:23:24.555875+00:00
"IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptune FX14, White, 70° Hot Water Wash with Hygienic Steam Drying, Perfect for Indian Utensils)",B0D7PWGS5S,39990.0,49990.0,20.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B0D7PWGS5S,amazon.in,dishwasher,2026-04-22T18:23:24.616323+00:00
"Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS66GB01I, Inbuilt Heater, Removes 99.9% Germs, White)",B0GG587PF4,47800.0,58990.0,19.0,INR,In Stock,4.3 out of 5 stars,,,https://www.amazon.in/dp/B0GG587PF4,amazon.in,dishwasher,2026-04-22T18:23:24.689957+00:00
"IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptune VX14, Inox Grey, 70° Hot Water Wash with Hygienic Steam Drying, Perfect for Indian Utensils)",B0D7Q26B42,42890.0,49990.0,14.2,INR,In Stock,4.0 out of 5 stars,,,https://www.amazon.in/dp/B0D7Q26B42,amazon.in,dishwasher,2026-04-22T18:23:24.755014+00:00
"IFB 16 Place Settings with DeepClean® Technology Powered by AI Freestanding Dishwasher (Neptune VX16, Inox Grey, Largest Capacity Washes upto 92 Utensils, 70° Hot Water Wash)",B0D7PZ4HW2,53490.0,62590.0,14.5,INR,In Stock,3.7 out of 5 stars,,,https://www.amazon.in/dp/B0D7PZ4HW2,amazon.in,dishwasher,2026-04-22T18:23:24.812816+00:00
"LG 15 Place Setting Dishwasher for Indian Utensils|Cleans Kadhai & Pressure Cooker|TrueSteam & QuadWash Technology|Inverter| Freestanding Dishwasher with Auto Open Door & WiFi (DFB435FV, Prime Silver)",B0GHP4RKBB,64826.0,82999.0,21.9,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B0GHP4RKBB,amazon.in,dishwasher,2026-04-22T18:23:24.859151+00:00
"IFB 15 Place Freestanding Dishwasher with DeepClean® Technology, 3rd Cutlery Tray, 70°C Hot Water Wash, Turbo Drying, Anti-Bacterial Filter, Perfect for Indian Utensils (Neptune VX15, Dark Silver)",B0DWXFB3Y4,47990.0,56190.0,14.6,INR,In Stock,3.8 out of 5 stars,,,https://www.amazon.in/dp/B0DWXFB3Y4,amazon.in,dishwasher,2026-04-22T18:23:24.998263+00:00
"Crompton 13 Place Setting Freestanding Dishwasher with 5 Wash Program and Super Active Drying System | Energy Saving Dishwasher with Stainless Steel Tub (Voilla 13 PS ENT,Silver Inox,FS-DWVOA13PS-ENT)",B0CHSK6JX2,33990.0,45590.0,25.4,INR,In Stock,3.4 out of 5 stars,,,https://www.amazon.in/dp/B0CHSK6JX2,amazon.in,dishwasher,2026-04-22T18:23:25.052550+00:00
"Bosch 14 Place Settings free-standing Dishwasher (SMS6HVI01I, Fingerprint free steel)",B097G7SBBX,60900.0,74690.0,18.5,INR,In Stock,4.1 out of 5 stars,,,https://www.amazon.in/dp/B097G7SBBX,amazon.in,dishwasher,2026-04-22T18:23:35.157037+00:00
"Hafele Aqua Noir Dishwasher | 13 Place Settings | Free Standing | Premium Matte Black Finish | Designed for Indian Utensils | Hygienic, Spacious & High-Performance Cleaning",B0G34QCZCB,39999.0,50600.0,21.0,INR,In Stock,4.7 out of 5 stars,,Limited time deal,https://www.amazon.in/dp/B0G34QCZCB,amazon.in,dishwasher,2026-04-22T18:23:35.279475+00:00
BUILDSKILL 350kg Load Capacity Washing Machine Stand Adjustable | Spirit Level | Anti-Vibration Mats | Dual SS Tubes | Legs with Rubber Pads | Without Wheels Height Stand for Washing Machine (Grey),B0F7HNP578,1265.0,126500.0,99.0,INR,In Stock,3.5 out of 5 stars,,,https://www.amazon.in/dp/B0F7HNP578,amazon.in,dishwasher,2026-04-22T18:23:35.344561+00:00
"Bosch Dishwasher fully built-in, series 4, 14 place settings, 3. Cutlery tray, SilencePlus, half load, white, SMH4EVX08E",B0FK5B4NF1,70890.0,86090.0,17.7,INR,In Stock,5.0 out of 5 stars,,,https://www.amazon.in/dp/B0FK5B4NF1,amazon.in,dishwasher,2026-04-22T18:23:35.653649+00:00
Bosch Washing Machine/Dishwasher- Dust Cover/Protective Cover - Blue,B07D29BB5V,799.0,0.0,0.0,INR,In Stock,4.5 out of 5 stars,,,https://www.amazon.in/dp/B07D29BB5V,amazon.in,dishwasher,2026-04-22T18:23:35.731076+00:00
"Electrolux 14 Place Settings Dishwasher Machine for Home, Fully Automatic with AirDry, In-Built Heater, Stainless Steel, UltimateCare 700, ESM48310SX",B0CH5LGHYY,58990.0,89990.0,34.4,INR,In Stock,4.6 out of 5 stars,,,https://www.amazon.in/dp/B0CH5LGHYY,amazon.in,dishwasher,2026-04-22T18:23:35.888287+00:00
"Electrolux 15 Place Settings Dishwasher Machine for Home, Fully Automatic with AirDry, Stainless Steel, UltimateCare 700, ESZ69300SX",B0CH5MP92Q,68990.0,106990.0,35.5,INR,In Stock,4.6 out of 5 stars,,,https://www.amazon.in/dp/B0CH5MP92Q,amazon.in,dishwasher,2026-04-22T18:23:35.953809+00:00
