title,price,original_price,discount_percent,currency,availability,url,retailer,category,scraped_at
BOSCH SMS46KI03I Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,54600.0,66790.0,18.3,INR,In Stock,https://www.flipkart.com/bosch-sms46ki03i-free-standing-14-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itme035a9f6af0d7?pid=DSWGFZFNJJRFRGAJ&lid=LSTDSWGFZFNJJRFRGAJTWUU54&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_11&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGFZFNJJRFRGAJ.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.612454+00:00
FABER FFSD 6PR 12S Neo Black Free Standing 12 Place Settings Dishwasher,28712.0,39990.0,28.2,INR,In Stock,https://www.flipkart.com/faber-ffsd-6pr-12s-neo-black-free-standing-12-place-settings-dishwasher/p/itmd63e6bfe26d52?pid=DSWFZTJUSQWNBEG2&lid=LSTDSWFZTJUSQWNBEG2TG3XXQ&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_12&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFZTJUSQWNBEG2.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.645853+00:00
Voltas Beko DF14S3 Free Standing 14 Place Settings Dishwasher,33990.0,65190.0,47.9,INR,In Stock,https://www.flipkart.com/voltas-beko-df14s3-free-standing-14-place-settings-dishwasher/p/itm30f024a40f027?pid=DSWHHU3C4G5FSGEA&lid=LSTDSWHHU3C4G5FSGEAJPX7MB&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_13&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHHU3C4G5FSGEA.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.664286+00:00
BOSCH SMS6IKI01I Free Standing 14 Place Settings Dishwasher,46490.0,42990.0,0.0,INR,In Stock,https://www.flipkart.com/bosch-sms6iki01i-free-standing-14-place-settings-dishwasher/p/itme08e35c01d742?pid=DSWHF7RBWCTEGEBD&lid=LSTDSWHF7RBWCTEGEBDG9NUWS&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_14&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHF7RBWCTEGEBD.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.683042+00:00
FABER FFSD 6PR 12S Neo Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,34572.0,77990.0,55.7,INR,In Stock,https://www.flipkart.com/faber-ffsd-6pr-12s-neo-free-standing-12-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itm6fe98772cf904?pid=DSWFTP7TSKDZTWZW&lid=LSTDSWFTP7TSKDZTWZWZQBYTZ&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_15&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFTP7TSKDZTWZW.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.715034+00:00
Godrej DWT EON MGNS 8C NF SKBK Free Standing 8 Place Settings Compact With Inbuilt Heater Dishwasher,30700.0,58990.0,48.0,INR,In Stock,https://www.flipkart.com/godrej-dwt-eon-mgns-8c-nf-skbk-free-standing-8-place-settings-compact-inbuilt-heater-dishwasher/p/itmc4ffd003676cf?pid=DSWG8ZAQTPSJGCCM&lid=LSTDSWG8ZAQTPSJGCCM2A0IBQ&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&spotlightTagId=default_TrendingId_j9e%2Fm38%2F58n&srno=s_1_16&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWG8ZAQTPSJGCCM.SEARCH&ppt=sp&ppn=sp&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.764028+00:00
BOSCH SMS6HMI00I Free Standing 15 Place Settings Dishwasher,58790.0,50990.0,0.0,INR,In Stock,https://www.flipkart.com/bosch-sms6hmi00i-free-standing-15-place-settings-dishwasher/p/itm357475deaea0a?pid=DSWH6T34RMTUZSXH&lid=LSTDSWH6T34RMTUZSXHVNER88&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_17&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWH6T34RMTUZSXH.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.787956+00:00
LIVPURE LIV-FS-SPARKLEWASH-12PS-6PR Free Standing 12 Place Settings Dishwasher,47990.0,64990.0,26.2,INR,In Stock,https://www.flipkart.com/livpure-liv-fs-sparklewash-12ps-6pr-free-standing-12-place-settings-dishwasher/p/itmecaa7108376b9?pid=DSWHE2DH7SE83JC5&lid=LSTDSWHE2DH7SE83JC50M3MWC&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_18&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHE2DH7SE83JC5.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.815695+00:00
BOSCH SMS66GB01I Free Standing 13 Place Settings Dishwasher,47800.0,31990.0,0.0,INR,In Stock,https://www.flipkart.com/bosch-sms66gb01i-free-standing-13-place-settings-dishwasher/p/itm46ce23767870f?pid=DSWHJ7RMRZDVGHRF&lid=LSTDSWHJ7RMRZDVGHRF43EO5B&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_19&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHJ7RMRZDVGHRF.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.835411+00:00
Hafele Aqua 12S Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,15990.0,62990.0,74.6,INR,In Stock,https://www.flipkart.com/hafele-aqua-12s-free-standing-12-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itm55f6a49e9ffad?pid=DSWFUJD7GZVPDAQG&lid=LSTDSWFUJD7GZVPDAQGUNNGVN&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&spotlightTagId=default_TrendingId_j9e%2Fm38%2F58n&srno=s_1_20&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFUJD7GZVPDAQG.SEARCH&ppt=sp&ppn=sp&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true,flipkart.com,dishwasher,2026-04-22T18:24:57.866750+00:00
